   mu          tdec
   1.0032288E-20   1.0000055E+00
   1.0064681E-20   1.0000055E+00
   1.0097178E-20   1.0000055E+00
   1.0129780E-20   1.0000055E+00
   1.0162487E-20   1.0000055E+00
   1.0195300E-20   1.0000055E+00
   1.0228219E-20   1.0000055E+00
   1.0261244E-20   1.0000055E+00
   1.0294375E-20   1.0000055E+00
   1.0327614E-20   1.0000055E+00
   1.0360960E-20   1.0000055E+00
   1.0394414E-20   1.0000055E+00
   1.0427975E-20   1.0000055E+00
   1.0461646E-20   1.0000055E+00
   1.0495424E-20   1.0000055E+00
   1.0529312E-20   1.0000055E+00
   1.0563309E-20   1.0000055E+00
   1.0597416E-20   1.0000055E+00
   1.0631634E-20   1.0000055E+00
   1.0665961E-20   1.0000055E+00
   1.0700400E-20   1.0000055E+00
   1.0734949E-20   1.0000055E+00
   1.0769611E-20   1.0000055E+00
   1.0804384E-20   1.0000055E+00
   1.0839269E-20   1.0000055E+00
   1.0874267E-20   1.0000055E+00
   1.0909378E-20   1.0000055E+00
   1.0944603E-20   1.0000055E+00
   1.0979941E-20   1.0000055E+00
   1.1015393E-20   1.0000055E+00
   1.1050960E-20   1.0000055E+00
   1.1086641E-20   1.0000055E+00
   1.1122438E-20   1.0000055E+00
   1.1158351E-20   1.0000055E+00
   1.1194379E-20   1.0000055E+00
   1.1230523E-20   1.0000055E+00
   1.1266785E-20   1.0000055E+00
   1.1303163E-20   1.0000055E+00
   1.1339659E-20   1.0000055E+00
   1.1376273E-20   1.0000055E+00
   1.1413005E-20   1.0000055E+00
   1.1449855E-20   1.0000055E+00
   1.1486825E-20   1.0000055E+00
   1.1523914E-20   1.0000055E+00
   1.1561122E-20   1.0000055E+00
   1.1598451E-20   1.0000055E+00
   1.1635901E-20   1.0000055E+00
   1.1673471E-20   1.0000055E+00
   1.1711162E-20   1.0000055E+00
   1.1748976E-20   1.0000055E+00
   1.1786911E-20   1.0000055E+00
   1.1824969E-20   1.0000055E+00
   1.1863149E-20   1.0000055E+00
   1.1901453E-20   1.0000055E+00
   1.1939881E-20   1.0000055E+00
   1.1978433E-20   1.0000055E+00
   1.2017109E-20   1.0000055E+00
   1.2055910E-20   1.0000055E+00
   1.2094836E-20   1.0000055E+00
   1.2133889E-20   1.0000055E+00
   1.2173067E-20   1.0000055E+00
   1.2212371E-20   1.0000055E+00
   1.2251803E-20   1.0000055E+00
   1.2291362E-20   1.0000055E+00
   1.2331048E-20   1.0000055E+00
   1.2370863E-20   1.0000055E+00
   1.2410806E-20   1.0000055E+00
   1.2450879E-20   1.0000055E+00
   1.2491080E-20   1.0000055E+00
   1.2531412E-20   1.0000055E+00
   1.2571873E-20   1.0000055E+00
   1.2612466E-20   1.0000055E+00
   1.2653189E-20   1.0000055E+00
   1.2694044E-20   1.0000055E+00
   1.2735031E-20   1.0000055E+00
   1.2776150E-20   1.0000055E+00
   1.2817402E-20   1.0000055E+00
   1.2858787E-20   1.0000055E+00
   1.2900306E-20   1.0000055E+00
   1.2941958E-20   1.0000055E+00
   1.2983746E-20   1.0000055E+00
   1.3025668E-20   1.0000055E+00
   1.3067725E-20   1.0000055E+00
   1.3109919E-20   1.0000055E+00
   1.3152248E-20   1.0000055E+00
   1.3194715E-20   1.0000055E+00
   1.3237318E-20   1.0000055E+00
   1.3280059E-20   1.0000055E+00
   1.3322938E-20   1.0000055E+00
   1.3365955E-20   1.0000055E+00
   1.3409111E-20   1.0000055E+00
   1.3452407E-20   1.0000055E+00
   1.3495842E-20   1.0000055E+00
   1.3539418E-20   1.0000055E+00
   1.3583134E-20   1.0000055E+00
   1.3626992E-20   1.0000055E+00
   1.3670991E-20   1.0000055E+00
   1.3715132E-20   1.0000055E+00
   1.3759416E-20   1.0000055E+00
   1.3803843E-20   1.0000055E+00
   1.3848413E-20   1.0000055E+00
   1.3893127E-20   1.0000055E+00
   1.3937985E-20   1.0000055E+00
   1.3982988E-20   1.0000055E+00
   1.4028137E-20   1.0000055E+00
   1.4073431E-20   1.0000055E+00
   1.4118872E-20   1.0000055E+00
   1.4164459E-20   1.0000055E+00
   1.4210194E-20   1.0000055E+00
   1.4256076E-20   1.0000055E+00
   1.4302106E-20   1.0000055E+00
   1.4348285E-20   1.0000055E+00
   1.4394613E-20   1.0000055E+00
   1.4441091E-20   1.0000055E+00
   1.4487719E-20   1.0000055E+00
   1.4534497E-20   1.0000055E+00
   1.4581426E-20   1.0000055E+00
   1.4628507E-20   1.0000055E+00
   1.4675740E-20   1.0000055E+00
   1.4723125E-20   1.0000055E+00
   1.4770663E-20   1.0000055E+00
   1.4818355E-20   1.0000055E+00
   1.4866201E-20   1.0000055E+00
